timestamp,weight,material,material_cost,variable_cost,total_cost,sell_price,margin_pct,profit_amount,multicolor,abrasive,rush,day_of_week,hour_of_day,month,year,product_name,product_id,is_product
2024-11-15T09:30:00,35.0,PLA Basic,1.75,2.45,4.2,12.6,200.0,8.4,False,False,False,Friday,9,November,2024,Testprint Klein,202411150001,False
2024-11-15T10:15:00,120.0,PETG Basic,7.2,8.4,15.6,46.8,200.0,31.2,False,False,False,Friday,10,November,2024,Prototype Behuizing,202411150002,False
2024-11-15T14:22:00,25.0,PLA Basic,1.25,1.75,3.0,9.0,200.0,6.0,True,False,False,Friday,14,November,2024,Logo Multicolor,202411150003,False
2024-11-16T11:45:00,250.0,PETG-CF,17.5,17.5,35.0,105.0,200.0,70.0,False,True,False,Saturday,11,November,2024,Carbon Bracket,202411160001,False
2024-11-16T15:30:00,80.0,PLA Silk,5.6,5.6,11.2,33.6,200.0,22.4,False,False,True,Saturday,15,November,2024,Silk Vaas Spoed,202411160002,False
2024-11-18T08:00:00,150.0,ASA,12.0,10.5,22.5,67.5,200.0,45.0,False,False,False,Monday,8,November,2024,Outdoor Lamp,202411180001,False
2024-11-18T13:20:00,45.0,PLA Basic,2.25,3.15,5.4,16.2,200.0,10.8,True,False,False,Monday,13,November,2024,Naambordje Color,202411180002,False
2024-11-19T09:45:00,200.0,TPU 95A,20.0,14.0,34.0,102.0,200.0,68.0,False,False,False,Tuesday,9,November,2024,Flex Seal,202411190001,False
2024-11-19T16:00:00,60.0,PLA Basic,3.0,4.2,7.2,21.6,200.0,14.4,False,False,True,Tuesday,16,November,2024,Rush Order Clip,202411190002,False
2024-11-20T10:30:00,350.0,PA-CF,35.0,24.5,59.5,178.5,200.0,119.0,False,True,False,Wednesday,10,November,2024,Nylon Gear,202411200001,False
2024-11-20T14:15:00,90.0,PETG Basic,5.4,6.3,11.7,35.1,200.0,23.4,True,False,False,Wednesday,14,November,2024,Box Multi Part,202411200002,False
2024-11-21T11:00:00,175.0,PLA Wood,10.5,12.25,22.75,68.25,200.0,45.5,False,False,False,Thursday,11,November,2024,Wood Bowl,202411210001,False
2024-11-21T15:45:00,40.0,PLA Basic,2.0,2.8,4.8,14.4,200.0,9.6,False,False,False,Thursday,15,November,2024,Mini Figure,202411210002,False
2024-11-22T08:30:00,500.0,PC,40.0,35.0,75.0,225.0,200.0,150.0,False,False,True,Friday,8,November,2024,PC Cover Rush,202411220001,False
